libelle;libelle_plaquette;libelle_ampoule;libelle_flacon;libelle_tube;libelle_stylo;libelle_seringue;libelle_pilulier;libelle_sachet;libelle_comprime;libelle_gelule;libelle_film;libelle_poche;libelle_capsule;nb_plaquette;nb_ampoule;nb_flacon;nb_tube;nb_stylo;nb_seringue;nb_pilulier;nb_sachet;nb_comprime;nb_gelule;nb_film;nb_poche;nb_capsule;nb_ml;statut;etat commerc;agrement col;tx rembours;forme pharma;voies admin;statut admin;date declar annee;date amm annee;type proc;titulaires;substances;prix
plaquette(s) PVC PVDC aluminium de 30 gélule(s);1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;gélule à libération prolongée;orale;Autorisation active;2014;2013;Procédure nationale; BIOGARAN;ACÉTATE DE FLÉCAÏNIDE;11.41
plaquette(s) PVC PVDC aluminium de 84 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé;orale;Autorisation active;2012;2011;Procédure centralisée; GLAXO GROUP (ROYAUME-UNI);RÉTIGABINE;126.96
plaquette(s) PVC PVDC aluminium de 30 gélule(s);1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;gélule;orale;Autorisation active;2014;2014;Procédure décentralisée; SANOFI AVENTIS FRANCE;CÉLÉCOXIB;3.46
plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé;orale;Autorisation active;2012;2009;Procédure nationale; ZYDUS FRANCE;IRBÉSARTAN;6.36
1 ampoule(s) en verre de 1 ml;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;Présentation active;Déclaration de commercialisation;oui;65%;solution injectable;endosinusale,intra-articulaire,intralésionnelle,intramusculaire,intraveineuse,périarticulaire,périoculaire,voie parentérale autre;Autorisation active;1963;1997;Procédure nationale; SIGMA TAU (ITALIE);BÉTAMETHASONE (PHOSPHATE DE) ET DE DISODIUM, BÉTAMÉTHASONE;1.99
plaquette(s) formée(s) à froid polyamide aluminium PVC-Aluminium de 90 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé;orale;Autorisation active;2014;2012;Procédure décentralisée; MYLAN SAS;VALSARTAN, HYDROCHLOROTHIAZIDE;18.63
plaquette(s) thermoformée(s) PVC-Aluminium de 28 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;15%;comprimé pelliculé;orale;Autorisation active;2012;2008;Procédure décentralisée; SANDOZ;CHLORHYDRATE DE DONÉPÉZIL;27.5
plaquette(s) thermoformée(s) polyamide aluminium PVC PVDC de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;30%;comprimé pelliculé à libération prolongée;orale;Autorisation active;2006;2005;Procédure nationale; BOEHRINGER INGELHEIM FRANCE;CHLORHYDRATE DE TAMSULOSINE, TAMSULOSINE;7.96
plaquette(s) thermoformée(s) aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé sécable;orale;Autorisation active;2008;2006;Procédure nationale; BIOGARAN;RAMIPRIL;4.16
plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 14 gélule(s);1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;gélule gastro-résistant(e);orale;Autorisation active;2012;2012;Procédure nationale; ZYDUS FRANCE;ÉSOMÉPRAZOLE, ÉSOMÉPRAZOLE MAGNÉSIQUE DIHYDRATÉ;3.49
plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé;orale;Autorisation active;2006;2006;Procédure de reconnaissance mutuelle; RANBAXY PHARMACIE GENERIQUES;GLIMÉPIRIDE;5.65
plaquette(s) thermoformée(s) PVC-aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;100%;comprimé;orale;Autorisation active;2009;2001;Procédure nationale; CRISTERS;FLUTAMIDE;27.17
plaquette(s) thermoformée(s) PVC PVDC aluminium de 28 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé sécable;orale;Autorisation active;2005;2005;Procédure nationale; ARROW GENERIQUES;LISINOPRIL DIHYDRATÉ, LISINOPRIL ANHYDRE;5.28
plaquette(s) thermoformée(s) PVC PVDC aluminium de 12 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé;orale;Autorisation active;2008;2007;Procédure nationale; RANBAXY PHARMACIE GENERIQUES;CIPROFLOXACINE, CHLORHYDRATE DE CIPROFLOXACINE;11.7
1 flacon(s) de 60 gélule(s);0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;60;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;gélule;orale;Autorisation active;1974;1988;Procédure nationale; ROCHE;LÉVODOPA, BENSÉRAZIDE BASE, BENSÉRAZIDE (CHLORHYDRATE DE);10.14
plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;30%;comprimé;orale;Autorisation active;2000;1998;Procédure nationale; MYLAN MEDICAL;DICHLORHYDRATE DE BÉTAHISTINE;5.91
plaquette(s) thermoformée(s) PVC-aluminium de 90 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé;orale;Autorisation active;2009;2000;Procédure de reconnaissance mutuelle; MERCK SANTE;BISOPROLOL (HÉMIFUMARATE DE);14.86
plaquette(s) PVC-Aluminium de 14 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé sécable;orale;Autorisation active;2015;2010;Procédure nationale; SANDOZ;TERBINAFINE, CHLORHYDRATE DE TERBINAFINE;12.06
plaquette(s) PVC-Aluminium de 28 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;15%;comprimé pelliculé sécable;orale;Autorisation active;2014;2014;Procédure décentralisée; SANOFI AVENTIS FRANCE;MÉMANTINE BASE, CHLORHYDRATE DE MÉMANTINE;30.21
plaquette(s) thermoformée(s) PVC-Aluminium de 60 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé;orale;Autorisation active;2012;2011;Procédure centralisée; ACCORD HEALTHCARE (ROYAUME UNI);LÉVÉTIRACÉTAM;65.24
1 flacon(s) en verre de 10  ml;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;Présentation active;Déclaration de commercialisation;oui;65%;solution injectable;intraveineuse,sous-cutanée;Autorisation active;2004;2002;Procédure centralisée; NOVO NORDISK (DANEMARK);INSULINE HUMAINE RECOMBINANTE ;17.17
